placeid,admin_1,admin_2,colloquial_area,continent,country,formatted_address,lat,locality,location_type,lon,natural_feature,partial,point_of_interest
ChIJh-iXE_8W-jkRCqLnwz06VHE,West Bengal,,,,India,"West Bengal, India",22.9867569,,administrative_area_level_1,87.8549755,,False,
ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,,,,,New Zealand,New Zealand,-40.900557,,country,174.885971,,False,
ChIJhdqtz4aI7UYRefD8s-aZ73I,,,,Europe,,Europe,54.5259614,,continent,15.2551187,,False,
ChIJi3lwCZyTC0cRkEAWZg-vAAQ,Prague,Hlavní město Praha,,,Czech Republic,"Prague, Czech Republic",50.0755381,Prague,locality,14.4378005,,False,
ChIJi7xhMnjjQgwR7KNoB5Qs7KY,,,,,Spain,Spain,40.46366700000001,,country,-3.74922,,False,
ChIJi8mnMiRJABURuiw1EyBCa2o,,,,,Israel,Israel,31.046051,,country,34.851612,,False,
ChIJiT3W8dqxfkcRLxCSvfDGo3s,Veneto,Metropolitan City of Venice,,,Italy,"Venice, Italy",45.4408474,Venice,locality,12.3155151,,False,
ChIJiWcsFI7EtYkRxrlG03sy_Lg,Virginia,Warren County,,,United States,"Christendom College, 134 Christendom Dr, Front Royal, VA 22630, USA",38.949664,Front Royal,establishment,-78.146138,,False,
ChIJj-hXfCgbdkgRWewwuunWzdg,England,Greater London,,,,"Warren Street Station, Kings Cross, London NW1",51.5246164,London,establishment,-0.1381797,,False,
ChIJk4jbBYqWuEwRAzro8GMtxY8,Québec,Communauté-Urbaine-de-Québec,,,Canada,"Québec City, QC, Canada",46.8138783,Québec City,locality,-71.2079809,,False,
ChIJkbeSa_BfYzARphNChaFPjNc,,,,,India,India,20.593684,,country,78.96288,,False,
ChIJkc7FdVLTD4gRzgVtnActe9s,Illinois,Cook County,,,United States,"Near North Side, Chicago, IL, USA",41.900306,Chicago,neighborhood,-87.6334451,,False,
ChIJl5npr173wIcRolGqauYlhVU,Missouri,Jackson County,,,United States,"Kansas City, MO, USA",39.0997265,Kansas City,locality,-94.5785667,,False,
ChIJlydZ50frwIcR00Bf_w3z_CY,Kansas,Johnson County,,,United States,"Windsor, 11297 W 95th St #18, Overland Park, KS 66214, USA",38.95379399999999,Overland Park,clothing_store,-94.7205096,,False,
ChIJn39Zoh6Ia4cRF0R0P3BXz6g,Colorado,Adams County,,,United States,"Westminster, CO, USA",39.8366528,Westminster,locality,-105.0372046,,False,
ChIJn6HyA8TiYUgRFAfDCdj6wec,Scotland,,,,United Kingdom,"Scotland, UK",56.49067119999999,,administrative_area_level_1,-4.2026458,,False,
ChIJn8o2UZ4HbUcRRluiUYrlwv0,Vienna,,,,Austria,"Vienna, Austria",48.2081743,Vienna,locality,16.3738189,,False,
ChIJnXHPxhsq2o4R-g4StcDRoFk,,,,,Jamaica,Jamaica,18.109581,,country,-77.297508,,False,
ChIJnzxHHLghFBMRQPjM_opZky4,,,,,,Mediterranean Sea,34.5531284,,establishment,18.0480105,,False,
ChIJozoM4U0U3YkR7NqOW7eqyb8,New York,Dutchess County,,,United States,"Hyde Park, NY, USA",41.7667602,Hyde Park,locality,-73.9015246,,False,
ChIJp8qkhjLkeUgR3zZOld7JXwA,England,Derby,,,United Kingdom,"Derby, UK",52.9225301,Derby,locality,-1.4746186,,False,
ChIJqRIn1E532EcRu7Vt86uAyiE,England,Cambridgeshire,,,United Kingdom,"University of Cambridge, The Old Schools, Trinity Ln, Cambridge CB2 1TN, UK",52.2042666,Cambridge,establishment,0.1149085,,False,
ChIJqbxbuykw4YkRP5bKTyKzw6o,Massachusetts,Franklin County,,,United States,"Montague, MA, USA",42.5355277,Montague,locality,-72.5353437,,False,
ChIJr-OEkw_0qFIR1kmG-LjV1fI,Wisconsin,,,,United States,"Wisconsin, USA",43.7844397,,administrative_area_level_1,-88.7878678,,False,
ChIJrdbSgKZWKhMRAyrH7xd51ZM,Tuscany,Metropolitan City of Florence,,,Italy,"Florence, Italy",43.7695604,Florence,locality,11.2558136,,False,
ChIJrdfCc5vh2ogRqpos1xhTP2c,Florida,Collier County,,,United States,"Naples, FL, USA",26.1420358,Naples,locality,-81.7948103,,False,
ChIJreeBgipnhYAROboW0_Uk_Vg,California,Contra Costa County,,,United States,"Hercules, CA, USA",38.0171441,Hercules,locality,-122.2885808,,False,
ChIJs4GOh8sEdkgRRiBFZKMP8ZE,England,Greater London,,,United Kingdom,"Covent Garden, London WC2E, UK",51.5117321,London,political,-0.1232697,,False,
ChIJs_VjEHaNtocRYsMKc7Q5QWI,Oklahoma,Tulsa County,,,United States,"Eton Square, 8421 E 61st, Tulsa, OK 74133, USA",36.0761868,Tulsa,establishment,-95.8836881,,False,
ChIJsbNRuoYD9YgRsXpcyDLdOSo,Georgia,Fulton County,,,United States,"Georgia Department of Public Health, State of Georgia Bldg, 2 Peachtree St NW #5, Atlanta, GA 30303, USA",33.7541825,Atlanta,establishment,-84.390626,,False,
ChIJsdwrZ_wMK4cRLB6b-PxynBo,Arizona,Maricopa County,,,United States,"North Italia, 4925 N 40th St, Phoenix, AZ 85018, USA",33.5090377,Phoenix,establishment,-111.994885,,False,
ChIJt1b4amRp44kRRVmlpaK44IE,Massachusetts,Essex County,,,United States,"Salem, MA, USA",42.51954,Salem,locality,-70.8967155,,False,
